id,legacyId,firstName,lastName,department,school,avgRating,avgDifficulty,numRatings,wouldTakeAgainPercent
VGVhY2hlci0zMDY2MTgw,3066180,Adam,Keith,Music,Brigham Young University,4.5,1,2,100
VGVhY2hlci0zMDg0ODM2,3084836,Janeen,Martin ,Religion,Brigham Young University,5,1,1,100
VGVhY2hlci0xODM1MjU4,1835258,Krystal,Pierce,Religion,Brigham Young University,3.8,2.9,54,72.093
VGVhY2hlci0yMDg1Njg5,2085689,Ben,Ogles,Psychology,Brigham Young University,4.7,3,25,95.6522
VGVhY2hlci0zMDkyNDY=,309246,Joseph,Parry,Humanities,Brigham Young University,3.9,2.6,86,75
VGVhY2hlci0xOTczNzY3,1973767,Kara,Stowers,Chemistry,Brigham Young University,3.9,4,58,81.4815
VGVhY2hlci0zMDQ1NDYy,3045462,Brittley ,Eldredge,Accounting,Brigham Young University,4.6,3.3,8,87.5
VGVhY2hlci05MTY2NzQ=,916674,Jim,Brau,Finance,Brigham Young University,4.2,3.5,6590,86.735
VGVhY2hlci0yNjU4ODk1,2658895,Chris,Krewson,Political Science,Brigham Young University,3.9,3.8,18,77.7778
VGVhY2hlci0zMDAxMTk1,3001195,Rachael,Johnson,Humanities,Brigham Young University,3.4,3.3,14,57.1429
VGVhY2hlci0yNzYwMDgw,2760080,Robert,Sowby,Civil Engineering,Brigham Young University,4.9,2.9,8,100
VGVhY2hlci0yODMzMDc1,2833075,Toby,Khung,Chinese,Brigham Young University,4,3.7,3,75
VGVhY2hlci04NDA1MDU=,840505,Nick,Frederick,Religion,Brigham Young University,4.6,2.2,154,89.3204
VGVhY2hlci0yODc1ODc2,2875876,April,Reber,Anthropology,Brigham Young University,2.8,2.9,57,42.1053
VGVhY2hlci0yMTMyMTA3,2132107,Keiko,Barney,Japanese,Brigham Young University,4,3.5,17,81.25
VGVhY2hlci01OTA5MTY=,590916,Russell,Rader,Biology,Brigham Young University,3.4,2.9,40,59.0909
VGVhY2hlci0yNDEyOTAz,2412903,Iris,Prescott,Spanish,Brigham Young University,3,2.5,26,50
VGVhY2hlci0yNTk1NjI=,259562,Don,Parry,Languages,Brigham Young University,4.4,2,23,83.3333
VGVhY2hlci0yODUxODA5,2851809,Ashley,LeBaron Black,Family Studies,Brigham Young University,3.6,3.1,39,64.1026
VGVhY2hlci0yNDQ3MDYx,2447061,Gina,Villalobos,Spanish,Brigham Young University,4.9,2,38,100
VGVhY2hlci0yNjgyMzQ2,2682346,Sam,Nielson,Design,Brigham Young University,5,2.7,3,100
VGVhY2hlci0xMDg2MjU1,1086255,Matthew,Butler,Economics,Brigham Young University,3.7,3.9,74,58.3333
VGVhY2hlci0xMzA0MTE1,1304115,Jani,Radebaugh,Physical Sciences,Brigham Young University,4.3,2.1,70,83.3333
VGVhY2hlci0yNzc4ODA1,2778805,Sandra,Sephton,Psychology,Brigham Young University,3.6,2.6,14,71.4286
VGVhY2hlci0yNDQyNTUz,2442553,Jen,Derrick,Nutrition & Food Science,Brigham Young University,3.3,4,4,50
VGVhY2hlci0yNTYxNDM=,256143,Alonzo,Gaskill,Religion,Brigham Young University,4.3,3.1,304,80.597
VGVhY2hlci03NTg2MA==,75860,John,Talbot,English,Brigham Young University,4.3,3.2,65,87.5
VGVhY2hlci0yODM2NDgw,2836480,Mary Ann,McFarland,Women's Studies,Brigham Young University,4.7,2.8,13,92.3077
VGVhY2hlci04MTMyOTA=,813290,Ron,Wilkinson,Theater,Brigham Young University,4.4,2.7,497,86.3787
VGVhY2hlci02MjU5NDY=,625946,Mary Jane,Woodger,Religion,Brigham Young University,3.2,2.9,125,43.3333
VGVhY2hlci0zMDA2Mzk1,3006395,Logan,Packer,Philosophy,Brigham Young University,4.7,1.7,7,100
VGVhY2hlci0yNzU3MDA3,2757007,Anthony,Rivera,Religion,Brigham Young University,4.4,1.7,42,83.3333
VGVhY2hlci0yNjc5OTU1,2679955,Madeline (Maddy),Peterson,Psychology,Brigham Young University,3.9,2.8,9,66.6667
VGVhY2hlci0yNzc1NTk0,2775594,Scott,Christopherson,Fine Arts,Brigham Young University,1.5,4.2,6,16.6667
VGVhY2hlci0zMjI0Njc=,322467,Michael,Brown,Science,Brigham Young University,4.9,3.6,156,100
VGVhY2hlci01ODg4MzM=,588833,Iain,Hunter,Exercise & Sport Science,Brigham Young University,4.4,2.5,42,100
VGVhY2hlci0xNTQwMDQ1,1540045,Karen,Jensen,Dance,Brigham Young University,3.6,3,15,60
VGVhY2hlci0zMDA1NjA1,3005605,Hannah,Judd,Accounting,Brigham Young University,5,3.7,7,100
VGVhY2hlci0yNzg3MTEw,2787110,Aaron,Sorenson,Communication,Brigham Young University,5,2,3,100
VGVhY2hlci0yNDQ5MTYz,2449163,Marin,Leggat,Dance,Brigham Young University,3,4,2,50
VGVhY2hlci0yMDAwNTAz,2000503,Corbin,Church,Business,Brigham Young University,4.9,1.7,796,98.8651
VGVhY2hlci02MDc4Mjc=,607827,Bradley,Wilcox,Religion,Brigham Young University,4.1,2.4,362,71.7718
VGVhY2hlci0yNTY0MzI=,256432,Randy,Skinner,Science,Brigham Young University,4.7,2.4,278,95.2055
VGVhY2hlci0xMzkyODc1,1392875,Jenet,Erickson,Family Studies,Brigham Young University,4.2,2.3,78,77.9221
VGVhY2hlci0xMDQxNjI1,1041625,Tyler,Jarvis,Mathematics,Brigham Young University,4.3,3.4,59,88.8889
VGVhY2hlci0zMDQ4NTU0,3048554,Lacey,Hamilton,English,Brigham Young University,3.3,3.2,6,33.3333
VGVhY2hlci05MzYyMzU=,936235,Christopher,Karpowitz,Political Science,Brigham Young University,4.2,3.7,243,85.4962
VGVhY2hlci0xODk4NTM=,189853,Darin,Gates,Philosophy,Brigham Young University,4.1,2.6,128,88.6792
VGVhY2hlci0yNzYzMDMz,2763033,Brian,Mead,Religion,Brigham Young University,4.8,1.8,113,92.0354
VGVhY2hlci0zMDM4MDA2,3038006,Norm,Gardner,Religion,Brigham Young University,4.5,1.6,95,88.4211
VGVhY2hlci0xNjE5NDAx,1619401,Jenn,Larson,Finance,Brigham Young University,3.1,3.4,83,45.3125
VGVhY2hlci0yODE4MzI3,2818327,Heidi,Dixon,Communication,Brigham Young University,4.4,3,28,82.1429
VGVhY2hlci0yNDc0Njgz,2474683,Darren,Aiello,Finance,Brigham Young University,4.4,4,26,84.6154
VGVhY2hlci0zMDc1NTI4,3075528,Lynette,Finau,Anthropology,Brigham Young University,5,3,3,100
VGVhY2hlci0xNjEzNTE3,1613517,Marcella,Adams,Biology,Brigham Young University,3.4,3.2,197,55.9211
VGVhY2hlci0xMzMwMDU1,1330055,Julie,Lefgren,Chinese,Brigham Young University,2.9,3.8,68,36.3636
VGVhY2hlci0xMjcyMzcx,1272371,Josh,West,Health Science,Brigham Young University,4.3,2.3,37,100
VGVhY2hlci0yMDg5MTQ4,2089148,Brian,Hartman,Statistics,Brigham Young University,4.9,3.8,24,100
VGVhY2hlci0yNzYxNjMy,2761632,Richard,Patterson,Economics,Brigham Young University,4.7,2.9,9,88.8889
VGVhY2hlci0yMTU0MjQx,2154241,Brandon,Bowen,Philosophy,Brigham Young University,4,3,59,72.8814
VGVhY2hlci0yMTgwMjAy,2180202,Kenneth,Hartvigsen,Humanities,Brigham Young University,4.1,3.4,48,77.0833
VGVhY2hlci0yNzUwNTEy,2750512,Jared,Halverson,Religion,Brigham Young University,4.8,2.4,21,90.4762
VGVhY2hlci0yNTg2MDg2,2586086,Ruth,Baptista,Spanish & Portuguese,Brigham Young University,3.6,2.3,9,44.4444
VGVhY2hlci0xOTY0ODgy,1964882,Nicolaas,Unlandt,French  Italian,Brigham Young University,4.2,2.7,6,66.6667
VGVhY2hlci0zMDkxNDQz,3091443,Maya,Hoeft,English,Brigham Young University,5,2,2,100
VGVhY2hlci0zMDE5NDAy,3019402,Logan,Wells,Religion,Brigham Young University,4,1.5,2,100
VGVhY2hlci04NjEzODY=,861386,Jeffrey Ha,Macedone,Chemistry,Brigham Young University,3.6,3.9,367,53.5519
VGVhY2hlci0yMDQ0OTUy,2044952,Chris,Lynn,Art,Brigham Young University,2.9,3.5,43,61.5385
VGVhY2hlci04MzYxMzg=,836138,Dean,Busby,Family & Consumer Science,Brigham Young University,4.3,3,34,80.9524
VGVhY2hlci0yODE5Nzg5,2819789,David,Calabro,Religion,Brigham Young University,4.4,1.4,30,86.6667
VGVhY2hlci0yMDg1OTkw,2085990,Benjamin,Galvin,Business,Brigham Young University,4.2,2.8,22,88.8889
VGVhY2hlci0yNzEwNTMx,2710531,Jeremy,Yorgason,Family Studies,Brigham Young University,4.6,2.3,12,83.3333
VGVhY2hlci0yODQ0NDEx,2844411,Hailey,Leavitt,Education,Brigham Young University,3.1,2.3,9,44.4444
VGVhY2hlci0yNzQ4MjU5,2748259,Katherine,Reschke,Family Studies,Brigham Young University,2.9,3.8,8,62.5
VGVhY2hlci0yOTM3NjM2,2937636,Daye,Son,Family Studies,Brigham Young University,4.8,2,4,100
VGVhY2hlci0zMDU3MDE0,3057014,Chenae,Duerden,Marriage Family & Human Dev,Brigham Young University,3,3.3,3,33.3333
VGVhY2hlci0yOTY4MjM2,2968236,Jeff,Jackson,Family Life,Brigham Young University,5,4,1,100
VGVhY2hlci0xMjk5OTY1,1299965,Brian,Poole,Molecular Biosciences,Brigham Young University,4.6,2.8,150,91.2281
VGVhY2hlci02MzQwMTE=,634011,Barbara,Gardner,Religion,Brigham Young University,3.8,2.7,112,69.2308
VGVhY2hlci0zNTMxNjc=,353167,Fred,Woods,Religion,Brigham Young University,2.8,3.4,92,32.7273
VGVhY2hlci0yMjM2MDM4,2236038,Audra,Jeske,Physical Education,Brigham Young University,4.8,1.3,18,94.4444
VGVhY2hlci0xNzczNDMw,1773430,Austin,Gillespie,Chemistry,Brigham Young University,4.8,3.4,111,97.7778
VGVhY2hlci0yNzg1Nzc=,278577,Michael,Arts,Philosophy,Brigham Young University,3,3.2,85,38.2353
VGVhY2hlci0xNzI2MzU0,1726354,Avram,Shannon,Religious Studies,Brigham Young University,4.1,2.9,81,78.7879
VGVhY2hlci0yNTgyNzcx,2582771,Erik,Yingling,Religion,Brigham Young University,4.4,2.7,18,83.3333
VGVhY2hlci0yODcxMTI2,2871126,Jamie,Perrett,Mathematics Education,Brigham Young University,3.8,2.6,9,77.7778
VGVhY2hlci0xNjYxNTMz,1661533,Casey Paul,Griffiths,Religion,Brigham Young University,4.7,2.2,399,92.1875
VGVhY2hlci05NDM0MTE=,943411,Mauro,Properzi,Religion,Brigham Young University,3.7,3.3,145,50
VGVhY2hlci0xNzU3MDkw,1757090,Spencer,James,Family Studies,Brigham Young University,3.6,3.4,57,54.3478
VGVhY2hlci04MjgwMzI=,828032,Steven,Waters,Economics,Brigham Young University,4.6,3.4,53,91.3043
VGVhY2hlci0xMTMzOTAx,1133901,Rickelle,Richards,Health & Physical Education,Brigham Young University,4,2.9,50,57.1429
VGVhY2hlci0yNTI0OTIx,2524921,Robert,Smith,Religion,Brigham Young University,2.6,2.6,45,37.7778
VGVhY2hlci0yNzQ4MjY1,2748265,Chelsea,Romney,Psychological Science,Brigham Young University,4.7,2.1,44,93.1818
VGVhY2hlci0yNTI1MDEw,2525010,Richard,Sandberg,Physical Sciences,Brigham Young University,4.6,2.8,25,88
VGVhY2hlci0yMjkxNTky,2291592,David,Erekson,Psychology,Brigham Young University,4.7,1.9,20,95
VGVhY2hlci0yMDY3NDg3,2067487,Kenneth,Christensen,Chemistry,Brigham Young University,3.2,3.7,13,66.6667
VGVhY2hlci0yMjQwODY2,2240866,Bryce,Bunting,Student Services,Brigham Young University,3.8,3,12,75
VGVhY2hlci05MzcwMzU=,937035,Scott,Burgeson,Physical Sciences,Brigham Young University,4.5,3,10,80
